City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Heyuan,CN,23.7333,114.6833,84.56,70,9,1.83,clear sky
248,Gadzhiyevo,RU,69.2551,33.3362,41.63,55,100,13.91,overcast clouds
249,Tura,IN,25.5198,90.2201,75.61,73,0,2.06,clear sky
250,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,88,40,18.19,scattered clouds
251,Alexandria,EG,31.2156,29.9553,70.34,70,14,12.06,few clouds
252,Grabouw,ZA,-34.1515,19.0151,50.49,56,0,3.47,clear sky
253,Tiksi,RU,71.6872,128.8694,36.48,97,100,13.8,overcast clouds
254,Khandyga,RU,62.6667,135.6,58.08,49,13,3.24,few clouds
255,Gaalkacyo,SO,6.7697,47.4308,77.02,63,28,12.46,scattered clouds
256,Dudinka,RU,69.4058,86.1778,42.62,73,84,16.69,broken clouds
257,Sinjai,ID,-5.1241,120.253,80.65,80,61,5.99,broken clouds
258,Port Blair,IN,11.6667,92.75,84.24,79,40,2.3,scattered clouds
259,Nantucket,US,41.2835,-70.0995,62.65,62,0,9.22,clear sky
260,Auki,SB,-8.7676,160.7034,85.89,66,39,2.64,scattered clouds
261,Nuuk,GL,64.1835,-51.7216,31.46,87,100,8.43,overcast clouds
262,Haiku-Pauwela,US,20.9219,-156.3051,80.62,54,40,19.57,scattered clouds
263,Tyukhtet,RU,56.5389,89.3011,53.8,54,82,5.53,broken clouds
264,Saint-Joseph,RE,-21.3667,55.6167,71.98,79,29,14.74,scattered clouds
265,Balkanabat,TM,39.5108,54.3671,78.93,36,0,4.79,clear sky
266,Vorgashor,RU,67.5833,63.95,47.59,88,100,5.99,light rain
267,Al Qusayr,SY,34.5091,36.5798,73.04,43,100,1.57,overcast clouds
268,Tralee,IE,52.2704,-9.7026,52.52,92,90,5.55,overcast clouds
269,Nizao,DO,18.25,-70.2,84.47,77,100,2.66,overcast clouds
270,Ballston Spa,US,43.0009,-73.849,69.93,61,0,0.0,clear sky
271,Margate,GB,51.3813,1.3862,51.91,89,9,4.0,clear sky
272,Rio Preto Da Eva,BR,-2.6994,-59.6997,79.68,73,100,2.24,overcast clouds
273,Broome,US,42.2506,-75.833,63.68,57,3,1.01,clear sky
274,Harper,LR,4.375,-7.7169,79.03,88,100,10.65,overcast clouds
275,Filadelfia,US,39.9523,-75.1638,72.52,43,75,9.22,broken clouds
276,Kalengwa,ZM,-13.4659,25.0027,53.69,51,0,5.5,clear sky
277,Hazard,US,37.2495,-83.1932,65.89,52,100,5.97,overcast clouds
278,Kapuskasing,CA,49.4169,-82.4331,84.2,21,0,16.11,clear sky
279,Barbacena,BR,-21.2258,-43.7736,55.96,81,6,0.67,clear sky
280,Panjab,AF,34.388,67.0233,49.91,28,81,4.16,broken clouds
281,Kolonia Town,FM,6.964,158.206,82.56,79,100,14.47,moderate rain
282,Cajaruro,PE,-5.7364,-78.4256,75.16,86,83,4.05,light rain
283,Mount Pearl,CA,47.5166,-52.7813,44.85,86,75,13.8,broken clouds
284,Zag,MN,46.9441,99.165,47.26,27,0,4.0,clear sky
285,Remire-Montjoly,GF,4.9167,-52.2667,77.04,94,0,2.3,moderate rain
286,Lihue,US,21.9789,-159.3672,80.46,68,20,12.66,light rain
287,Sandnessjoen,NO,66.0217,12.6316,45.64,84,100,10.0,light rain
288,San Luis De La Loma,MX,17.2706,-100.8939,84.81,67,2,5.28,clear sky
289,La Mira,MX,18.035,-102.3266,84.58,70,6,5.08,clear sky
290,Alvesta,SE,56.8993,14.5556,46.67,84,45,5.75,scattered clouds
291,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,12.66,light intensity shower rain
292,Laredo,US,27.5064,-99.5075,91.69,40,40,13.8,scattered clouds
293,Yarmouth,US,41.7057,-70.2286,63.01,67,0,10.36,clear sky
294,Los Frentones,AR,-26.4077,-61.4137,56.79,87,100,13.06,overcast clouds
295,Kailua-Kona,US,19.6406,-155.9956,84.16,77,0,12.66,light rain
296,Sheridan,US,44.8333,-106.9173,71.98,37,0,10.36,clear sky
297,El Granada,US,37.5027,-122.4694,72.61,78,100,23.02,overcast clouds
298,Nova Sintra,CV,14.8667,-24.7167,69.85,85,56,5.35,broken clouds
299,Mount Gambier,AU,-37.8333,140.7667,56.84,74,8,9.84,clear sky
300,Daoukro,CI,7.0591,-3.9631,74.37,98,100,4.27,overcast clouds
301,Villers-Cotterets,FR,49.2531,3.09,58.08,92,0,6.06,clear sky
302,Hudson,US,40.7168,-74.0663,69.01,50,0,12.66,clear sky
303,Acarau,BR,-2.8856,-40.12,78.82,87,17,10.02,few clouds
304,Pangody,RU,65.85,74.4859,56.77,73,100,16.93,overcast clouds
305,San Julian,MX,21.0167,-102.1667,82.78,21,23,6.89,few clouds
306,Saint-Francois,FR,46.4154,3.9054,56.64,88,0,2.3,clear sky
307,Sohag,EG,26.557,31.6948,79.09,38,99,9.28,overcast clouds
308,Newquay,GB,50.4132,-5.0819,56.16,58,9,6.91,clear sky
309,Alaghsas,NE,17.0187,8.0168,90.72,11,0,21.85,clear sky
310,Beira,MZ,-19.8436,34.8389,68.25,78,5,1.63,clear sky
311,Constantia,RO,44.1833,28.65,59.7,92,56,7.36,broken clouds
312,Bereznik,RU,62.8551,42.7072,45.32,60,74,7.31,broken clouds
313,Puli,TW,23.9664,120.9695,79.79,47,0,3.83,clear sky
314,Roma,US,43.2128,-75.4557,69.94,51,0,5.75,clear sky
315,Laguna,US,38.421,-121.4238,83.01,50,0,12.66,clear sky
316,Berezovyy,RU,51.6667,135.7,41.54,79,100,7.34,overcast clouds
317,Oroqen Zizhiqi,CN,50.5667,123.7167,53.15,47,100,8.12,overcast clouds
318,Crane,US,31.3974,-102.3501,75.34,59,100,15.93,moderate rain
319,Aweil,SS,8.7682,27.4002,79.0,68,57,5.26,broken clouds
320,Korla,CN,41.7597,86.1469,70.3,30,100,4.23,overcast clouds
321,Puerto Armuelles,PA,8.2833,-82.8667,84.18,71,96,1.01,light rain
322,Labrador City,CA,52.9463,-66.9114,60.71,41,100,9.22,moderate rain
323,Vilhena,BR,-12.7406,-60.1458,75.15,57,100,2.59,overcast clouds
324,Muhos,FI,64.808,25.9931,44.38,64,100,9.91,overcast clouds
325,Vershino-Darasunskiy,RU,52.35,115.5167,55.13,31,4,2.93,clear sky
326,Tynda,RU,55.1667,124.7167,54.1,38,15,8.97,few clouds
327,Naze,JP,28.3667,129.4833,74.32,93,100,13.2,overcast clouds
328,East London,ZA,-33.0153,27.9116,58.77,36,0,6.06,clear sky
329,Gulf Shores,US,30.246,-87.7008,79.07,63,0,5.75,clear sky
330,Mawlaik,MM,23.6333,94.4167,85.75,49,0,1.72,clear sky
